Norsk|Italiensk(Sterk/Svak form)|Eksempelsetning|Oversettelse
til meg|mi/me|Mi hai portato il cibo? Hai portato il cibo a me|Brakte du maten til meg?
til deg|ti/te|Ti offro il posto. Offro il posto a te.|Jeg tilbyr setet til deg.
til ham|gli/lui|Gli spiegherai il libro? Spiegherai il libro a lui?|Vil du forklare boken til han?
til henne|le/lei|Le dica che l’ufficio è chiuso. Dica a lei che l’ufficio è chiuso.|Fortell henne at kontoret er stengt.
til oss|ci/noi|Ci hanno riservato un posto. Hanno riservato un posto per noi.|De reserverte en plass for oss.
til dere(flertall)|vi/voi|Vi ha detto qualcosa? Ha detto qualcosa a voi?|Sa han/henne noe til dere?
to them|loro, gli/loro|Gli ho detto di smettere. Ho detto di smettere a loro.|Jeg ba dem stoppe.
